X Coordinate,Y Coordinate
208.458510,985.495695
209.920171,987.206237
211.407325,988.894662
212.919637,990.560590
214.456766,992.203648
216.018368,993.823464
217.604090,995.419675
219.213576,996.991922
220.846464,998.539850
222.502387,1000.063112
224.180971,1001.561364
225.881839,1003.034270
227.604609,1004.481499
229.348892,1005.902724
231.114297,1007.297626
232.900426,1008.665890
234.706877,1010.007210
236.533244,1011.321284
238.379116,1012.607815
240.244077,1013.866514
242.127709,1015.097098
244.029586,1016.299290
245.949282,1017.472821
247.886365,1018.617424
249.840397,1019.732844
251.810941,1020.818829
253.797552,1021.875135
255.799783,1022.901523
257.817185,1023.897764
259.849303,1024.863633
261.895679,1025.798913
263.955854,1026.703393
266.029364,1027.576870
268.115742,1028.419147
270.214520,1029.230035
272.325224,1030.009351
274.447379,1030.756920
276.580510,1031.472574
278.724134,1032.156151
280.877771,1032.807499
283.040936,1033.426470
285.213141,1034.012925
287.393898,1034.566732
289.582717,1035.087767
291.779105,1035.575912
293.982567,1036.031057
296.192609,1036.453101
298.408733,1036.841948
300.630439,1037.197510
302.857229,1037.519708
305.088601,1037.808470
307.324054,1038.063729
309.563084,1038.285429
311.805187,1038.473520
314.049859,1038.627960
316.296595,1038.748713
318.544890,1038.835753
320.794237,1038.889060
323.044131,1038.908623
325.294065,1038.894435
327.543534,1038.846502
329.792030,1038.764833
332.039048,1038.649448
334.284083,1038.500371
336.526629,1038.317637
338.766182,1038.101286
341.002238,1037.851368
343.234294,1037.567938
345.461847,1037.251061
347.684397,1036.900807
349.901443,1036.517256
352.112486,1036.100493
354.317030,1035.650613
356.514578,1035.167716
358.704635,1034.651912
360.886709,1034.103316
363.060309,1033.522052
365.224946,1032.908251
367.380133,1032.262050
369.525385,1031.583596
371.660219,1030.873040
373.784154,1030.130543
375.896714,1029.356271
377.997423,1028.550400
380.085807,1027.713109
382.161398,1026.844589
384.223728,1025.945033
386.272333,1025.014645
388.306752,1024.053633
390.326528,1023.062214
392.331206,1022.040612
394.320334,1020.989055
396.293467,1019.907781
398.250159,1018.797032
400.189970,1017.657060
402.112464,1016.488119
404.017208,1015.290474
405.903774,1014.064393
407.771737,1012.810153
409.620677,1011.528035
411.450178,1010.218329
413.259829,1008.881328
415.049221,1007.517334
416.817953,1006.126654
418.565627,1004.709600
420.291849,1003.266491
421.996231,1001.797653
423.678390,1000.303415
425.337947,998.784113
